city,province,latitude,longitude,lease_term,type,price,beds,baths,sq_feet,furnishing,availability_date,smoking,cats,dogs
Airdrie,Alberta,51.2660887,-113.9901988,Long Term,Apartment,1737,2,1,792,Unfurnished,2025-02-21,Non-Smoking,True,True
Airdrie,Alberta,51.2785049,-114.0442103,Long Term,House,2600,3,2.5,1707,Unfurnished,2025-02-21,Non-Smoking,False,False
Airdrie,Alberta,51.280950109218,-114.02697856138,Long Term,Apartment,2000,2,2,874,Unfurnished,2025-02-21,Non-Smoking,False,False
Airdrie,Alberta,51.280950109218,-114.02697856138,Long Term,Apartment,1600,1,1,605,Unfurnished,2025-02-21,Non-Smoking,False,False
Airdrie,Alberta,51.280950109218,-114.02697856138,Long Term,Apartment,1230,1,1,605,Unfurnished,2025-02-21,Non-Smoking,False,False
Airdrie,Alberta,51.280950109218,-114.02697856138,Long Term,Apartment,2000,2,1.5,874,Unfurnished,2025-02-21,Non-Smoking,False,False
Airdrie,Alberta,51.2873632,-114.024567,Long Term,Condo Unit,1800,2,1,947,Unfurnished,2025-02-21,Non-Smoking,False,False
Airdrie,Alberta,51.2727522,-114.0360575,Long Term,Townhouse,2800,3,2.5,1726,Unfurnished,2025-02-21,Non-Smoking,True,True
Airdrie,Alberta,51.2727522,-114.0360575,Long Term,Townhouse,2675,3,2.5,1704,Unfurnished,2025-02-21,Non-Smoking,True,True
Airdrie,Alberta,51.2727522,-114.0360575,Long Term,Townhouse,2475,2,2.5,1382,Unfurnished,2025-02-21,Non-Smoking,True,True
Airdrie,Alberta,51.2910811,-114.0512376,Long Term,House,3000,4,2.5,2300,Unfurnished,2025-02-21,Non-Smoking,False,False
Airdrie,Alberta,51.2589463,-113.9768104,12 months,Townhouse,2450,3,2.5,1300,Unfurnished,2025-02-21,Non-Smoking,True,True
Airdrie,Alberta,51.26992,-114.0429,Long Term,Room For Rent,800,1,1,1750,Negotiable,2025-02-21,Non-Smoking,False,False
Airdrie,Alberta,51.2810355,-114.0472916,Long Term,Basement,1750,2,1,700,Unfurnished,2025-02-21,Non-Smoking,False,False
Airdrie,Alberta,51.263381340333,-114.026004222412,Long Term,Basement,1250,1,1,739,Unfurnished,2025-02-21,Non-Smoking,False,False
Airdrie,Alberta,51.2592925,-114.0290917,Long Term,Townhouse,2300,2,2.5,1250,Unfurnished,2025-02-21,Non-Smoking,True,True
Airdrie,Alberta,51.2924668,-114.0097333,Long Term,House,2100,1,1,700,Unfurnished,2025-02-21,Non-Smoking,True,True
Airdrie,Alberta,51.2625251,-114.0452084,Negotiable,Basement,1300,1,1,550,Unfurnished,2025-02-21,Non-Smoking,False,False
Airdrie,Alberta,51.2815229,-114.0258838,Long Term,Townhouse,2500,3,2.5,1500,Unfurnished,2025-02-21,Non-Smoking,True,True
Airdrie,Alberta,51.263773692711,-114.040650415869,Negotiable,Basement,3800,2,1,900,Unfurnished,2025-02-21,Non-Smoking,False,False
Airdrie,Alberta,51.2695413,-113.9859512,Long Term,Room For Rent,850,1,1,2500,Furnished,2025-02-21,Non-Smoking,False,False
Airdrie,Alberta,51.2891518,-114.0230327,Long Term,Condo Unit,1950,2,1,677,Unfurnished,2025-02-21,Non-Smoking,False,False
Airdrie,Alberta,51.2529298,-114.011578,Long Term,Townhouse,2600,3,2.5,1515,Unfurnished,2025-02-21,Non-Smoking,False,False
Airdrie,Alberta,51.2632915,-114.0462188,Long Term,Townhouse,2500,3,2.5,1369,Unfurnished,2025-02-21,Non-Smoking,False,False
Airdrie,Alberta,51.2526265,-114.0360833,Long Term,House,3000,3,2.5,2000,Unfurnished,2025-02-21,Non-Smoking,False,False
Airdrie,Alberta,51.2858751,-114.0165409,Negotiable,Room For Rent,780,1,1,1307,Furnished,2025-02-21,Non-Smoking,False,False
Airdrie,Alberta,51.2831517,-114.0459165,Short Term,Room For Rent,700,1,1,1600,Furnished,2025-02-21,Non-Smoking,False,False
Airdrie,Alberta,51.2672602,-114.0118268,Negotiable,Room For Rent,850,1,1,1307,Negotiable,2025-02-21,Non-Smoking,False,False
Airdrie,Alberta,51.3044974,-114.0115628,Long Term,Apartment,1630,1,1,616,Unfurnished,2025-07-01,Non-Smoking,True,True
Airdrie,Alberta,51.3044974,-114.0115628,Long Term,Apartment,1630,1,1,616,Unfurnished,2025-02-21,Non-Smoking,True,True
Airdrie,Alberta,51.3044974,-114.0115628,Long Term,Apartment,2090,2,2,971,Unfurnished,2025-02-21,Non-Smoking,True,True
Airdrie,Alberta,51.3044974,-114.0115628,Long Term,Apartment,1735,1,1,654,Unfurnished,2025-02-21,Non-Smoking,True,True
Airdrie,Alberta,51.3044974,-114.0115628,Long Term,Apartment,1710,1,1,616,Unfurnished,2025-02-21,Non-Smoking,True,True
Airdrie,Alberta,51.3044974,-114.0115628,Long Term,Apartment,1630,1,1,616,Unfurnished,2025-02-21,Non-Smoking,True,True
Airdrie,Alberta,51.3044974,-114.0115628,Long Term,Apartment,1840,1,1,711,Unfurnished,2025-02-21,Non-Smoking,True,True
Airdrie,Alberta,51.3044974,-114.0115628,Long Term,Apartment,1630,1,1,616,Unfurnished,2025-07-01,Non-Smoking,True,True
Airdrie,Alberta,51.3044974,-114.0115628,Long Term,Apartment,1630,1,1,616,Unfurnished,2025-07-01,Non-Smoking,True,True
Airdrie,Alberta,51.3044974,-114.0115628,Long Term,Apartment,1955,2,2,906,Unfurnished,2025-08-01,Non-Smoking,True,True
Airdrie,Alberta,51.3044974,-114.0115628,Long Term,Apartment,1630,1,1,616,Unfurnished,2025-07-01,Non-Smoking,True,True
Airdrie,Alberta,51.3044974,-114.0115628,Long Term,Apartment,1670,1,1,616,Unfurnished,2025-08-01,Non-Smoking,True,True
Airdrie,Alberta,51.2491537,-114.0171847,Long Term,Duplex,2550,3,2.5,1361,Unfurnished,2025-06-15,Non-Smoking,False,False
Airdrie,Alberta,51.2863306,-114.0386921,Negotiable,Basement,900,1,1,739,Furnished,2025-06-15,Non-Smoking,False,False
Airdrie,Alberta,51.2777434,-114.0446346,Long Term,House,4000,4,4,2328,Unfurnished,2025-06-15,Non-Smoking,True,True
Airdrie,Alberta,51.2987494,-114.0103409,Negotiable,House,2450,3,2,1500,Unfurnished,2025-06-15,Non-Smoking,False,False
Airdrie,Alberta,51.2666342,-113.9934758,Long Term,Apartment,2048,2,1,870,Unfurnished,2025-07-31,Non-Smoking,True,True
Airdrie,Alberta,51.2666342,-113.9934758,Long Term,Apartment,2138,2,2,974,Unfurnished,2025-06-30,Non-Smoking,True,True
Airdrie,Alberta,51.2598366,-114.0281494,Long Term,Townhouse,2200,3,2.5,1350,Unfurnished,2025-07-01,Non-Smoking,False,False
Airdrie,Alberta,51.2744148,-114.0355933,Long Term,House,3000,4,3,2108,Unfurnished,2025-07-01,Non-Smoking,False,False
Airdrie,Alberta,51.2561616,-114.0321096,Long Term,Townhouse,2350,2,1.5,1038,Unfurnished,2025-07-01,Non-Smoking,True,True
Airdrie,Alberta,51.256554358922,-113.995315940259,Long Term,Basement,1675,2,1,1250,Unfurnished,2025-07-01,Non-Smoking,False,False
Airdrie,Alberta,51.2496146,-114.030942,Long Term,Townhouse,2400,3,2.5,1500,Unfurnished,2025-07-01,Non-Smoking,True,True
